loc_rowid,pl_hostname,pl_name,pl_pnum,pl_orbper,pl_orbeccen,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,pl_masse,pl_rade,pl_disc,pl_mnum,st_lum
3599,Kepler-926,Kepler-926 b,1,52.06886010,,19h18m43.04s,289.679343,+40d42m01.7s,40.700466,771.00,5806.00,1.01,1.01,,2.310,2016,0,
3600,Kepler-927,Kepler-927 b,1,9.11499030,,19h17m32.04s,289.383510,+41d23m33.7s,41.392695,879.00,5743.00,0.99,0.99,,1.720,2016,0,
3601,Kepler-928,Kepler-928 b,1,3.93246130,,19h19m40.97s,289.920717,+41d32m34.2s,41.542828,532.00,4700.00,0.73,0.70,,1.590,2016,0,
3602,Kepler-929,Kepler-929 b,1,0.92103214,,19h53m55.47s,298.481124,+41d36m55.2s,41.615332,820.00,5869.00,1.01,1.02,,1.110,2016,0,
3603,Kepler-93,Kepler-93 b,2,4.72674000,0.000000,19h25m40.39s,291.418281,+38d40m20.5s,38.672354,96.18,5669.00,1.09,0.98,3.17830,1.569,2014,0,
3604,Kepler-93,Kepler-93 c,2,1460.00000000,,19h25m40.39s,291.418281,+38d40m20.5s,38.672354,96.18,5669.00,1.09,0.98,954.00000,,2014,0,
3605,Kepler-930,Kepler-930 b,1,71.45177750,,19h53m15.47s,298.314444,+42d14m50.8s,42.247434,905.00,6335.00,1.25,1.40,,2.130,2016,0,
3606,Kepler-931,Kepler-931 b,1,8.03755877,,19h48m31.83s,297.132641,+42d46m05.7s,42.768253,490.00,5241.00,0.86,0.81,,1.330,2016,0,
3607,Kepler-932,Kepler-932 b,1,1.92143740,,19h47m48.49s,296.952062,+43d16m19.1s,43.271969,478.00,5331.00,0.87,0.84,,1.370,2016,0,
3608,Kepler-933,Kepler-933 b,1,14.20443009,,19h18m16.48s,289.568659,+43d32m19.0s,43.538612,922.00,5346.00,0.87,0.84,,2.460,2016,0,
3609,Kepler-934,Kepler-934 b,1,55.67383090,,19h21m09.23s,290.288467,+43d45m19.2s,43.755322,603.00,5001.00,0.81,0.77,,2.090,2016,0,
3610,Kepler-935,Kepler-935 b,1,4.88083852,,19h40m05.20s,295.021668,+46d37m09.2s,46.619217,482.00,4830.00,0.78,0.73,,1.350,2016,0,
